a	b	clase	madre	lectura
definir_entorno_grupo_clientes_proveedores_competidores	examinar_demanda_entorno_dos_marcos_temporales	CONTINUA	definir_entorno_grupo_clientes_proveedores_competidores	L29 Once you have established what constitutes your environment remite con palabras a la pieza de la madre (L25), y la condicion del hijo (ya tienes establecido que constituye tu entorno) es su producto; el hijo anade los dos marcos temporales, la diferencia y no rebajar la demanda
definir_entorno_grupo_clientes_proveedores_competidores	anunciar_decision_inesperada_reconvocar_reunion	SANO		definir el entorno de tu grupo contra anunciar una decision al grupo; comparten la palabra grupo
definir_entorno_grupo_clientes_proveedores_competidores	vencer_sindrome_grupo_pares_autoconfianza	SANO		definir el entorno de tu grupo contra el sindrome del grupo de pares; comparten la palabra grupo
definir_entorno_grupo_clientes_proveedores_competidores	fijar_horizonte_ventana_replanificacion	SANO		entorno contra horizonte
definir_entorno_grupo_clientes_proveedores_competidores	determinar_estado_presente_capacidades_proyectos_merma	SANO		definir el entorno contra listar capacidades y proyectos
determinar_estado_presente_capacidades_proyectos_merma	examinar_entorno_expectativas_tecnologia_proveedores_grupos	SANO		estado presente contra que mirar del entorno
determinar_estado_presente_capacidades_proyectos_merma	examinar_demanda_entorno_dos_marcos_temporales	SANO		estado presente contra demanda: dos pasos que el paso 3 compara, ninguno continua al otro. DUDA: el paso 2 de DS pide la moneda en que has declarado la demanda (L35 in which you stated demand), que es producto de ED; lo leo formato y no entrada
determinar_estado_presente_capacidades_proyectos_merma	fijar_horizonte_ventana_replanificacion	SANO		estado presente contra horizonte
diagnosticar_capacidad_motivacion_prueba_vida	diagnosticar_nivel_motivacion_reaccion_aumento_salario	SANO		dos pruebas de diagnostico distintas: si no puede o no quiere (la vida en juego) contra en que nivel de la jerarquia esta (el aumento de sueldo); ningun paso compartido
planificar_tres_pasos_demanda_estado_brecha	entregar_evaluacion_desempeno_tres_claves	SANO		planificar en tres pasos contra entregar la revision con sus tres claves; comparten la cuenta tres en el titulo
examinar_demanda_entorno_dos_marcos_temporales	examinar_entorno_expectativas_tecnologia_proveedores_grupos	SANO		los dos examinan el entorno y COMPARTEN un paso: EE P1 (expectativas del cliente y percepcion de tu desempeno) es ED P2 y P3 (que quieren ahora, si los satisfaces), L27 contra L29. Fuera del solape hay procedimiento en los dos lados (EE: tecnologia, proveedores, otros grupos; ED: el ano que viene, la diferencia, no rebajar), asi que no es REPITE (6.1, sin bascula). DUDA: se puede leer CONTINUA con madre EE, porque ED anade el segundo marco temporal a lo que EE mira hoy
examinar_entorno_expectativas_tecnologia_proveedores_grupos	fijar_periodo_direccion_objetivos_retroalimentacion	SANO		entorno contra periodo
fijar_horizonte_ventana_replanificacion	fijar_periodo_direccion_objetivos_retroalimentacion	SANO		los dos hablan de periodo y retroalimentacion en sentidos OPUESTOS: FH no replanificar demasiado seguido para poder juzgar el impacto (L61), FP objetivos de periodo corto para que la retroalimentacion llegue a tiempo (L79). FP P5 contrasta con la base del plan y no toma el horizonte de FH como entrada
fijar_horizonte_ventana_replanificacion	anunciar_decision_inesperada_reconvocar_reunion	SANO		horizonte y frecuencia de la planificacion contra anunciar una decision y reconvocar; comparten dejar tiempo antes de volver sobre algo (L61 contra el reconvocar de cap_06) y nada de procedimiento
fijar_periodo_direccion_objetivos_retroalimentacion	fijar_meta_direccion_objetivos_mitad_probabilidad	SANO		dos parametros distintos del mismo sistema de objetivos: el periodo por la retroalimentacion (cap_07 L79) contra la altura de la meta al cincuenta por ciento (cap_12 L75); ningun paso compartido y ninguno es la condicion del otro. El barrido lo levanta por familia_id (direccion_objetivos)
preparar_resena_mixta_hoja_trabajo	usar_banco_nueve_preguntas_entrevista	SANO		preparar la revision mixta en la hoja de trabajo contra el banco de preguntas de entrevista de cap_15 (en la bandeja, fuera de esta tanda); comparten fortalezas y debilidades como tema y ningun paso
