id	paso	clase	capitulo	linea	lectura
fijar_duracion_lugar_reunion_individual	5	T	cap_05	L39	I think you should have the meeting in or near the subordinate's work area if possible; y no en la del supervisor ni en otro sitio responde a las alternativas que la propia pregunta nombra
fijar_duracion_lugar_reunion_individual	6	T	cap_05	L39	A supervisor can learn a lot simply by going to his subordinate's office
fijar_duracion_lugar_reunion_individual	7	T	cap_05	L39	Is he organized or not?
fijar_duracion_lugar_reunion_individual	8	T	cap_05	L39	Does he repeatedly have to spend time looking for a document he wants?
fijar_duracion_lugar_reunion_individual	9	T	cap_05	L39	Does he get interrupted all the time? Never?
fijar_duracion_lugar_reunion_individual	10	T	cap_05	L39	And in general, how does the subordinate approach his work?
preparar_guion_reunion_individual_subordinado	1	T	cap_05	L41	It should be regarded as the subordinate's meeting, with its agenda and tone set by him
preparar_guion_reunion_individual_subordinado	2	T	cap_05	L41	Somebody needs to prepare for the meeting. The supervisor with eight subordinates would have to prepare eight times; the subordinate only once
preparar_guion_reunion_individual_subordinado	3	T	cap_05	L41	So the latter should be asked to prepare an outline
preparar_guion_reunion_individual_subordinado	4	T	cap_05	L41	which is very important because it forces him to think through in advance all of the issues and points he plans to raise
preparar_guion_reunion_individual_subordinado	5	T	cap_05	L41	with an outline, the supervisor knows at the outset what is to be covered and can therefore help to set the pace of the meeting according to the meatiness of the items
preparar_guion_reunion_individual_subordinado	6	T	cap_05	L41	An outline also provides a framework for supporting information, which the subordinate should prepare in advance
preparar_guion_reunion_individual_subordinado	7	T	cap_05	L41	The subordinate should then walk the supervisor through all the material
cubrir_indicadores_problemas_reunion_individual	1	T	cap_05	L43	We can start with performance figures, indicators used by the subordinate, such as incoming order rates, production output, or project status
cubrir_indicadores_problemas_reunion_individual	2	T	cap_05	L43	Emphasis should be on indicators that signal trouble
cubrir_indicadores_problemas_reunion_individual	3	T	cap_05	L43	The meeting should also cover anything important that has happened since the last meeting
cubrir_indicadores_problemas_reunion_individual	4	T	cap_05	L43	current hiring problems
cubrir_indicadores_problemas_reunion_individual	5	T	cap_05	L43	people problems in general
cubrir_indicadores_problemas_reunion_individual	6	T	cap_05	L43	organizational problems and future plans
cubrir_indicadores_problemas_reunion_individual	7	T	cap_05	L43	and, very, very important, potential problems
cubrir_indicadores_problemas_reunion_individual	8	T	cap_05	L43	Even when a problem isn't tangible, even if it's only an intuition that something's wrong, a subordinate owes it to his supervisor to tell him, because it triggers a look into the organizational black box
cubrir_indicadores_problemas_reunion_individual	9	T	cap_05	L43	The most important criterion governing matters to be talked about is that they be issues that preoccupy and nag the subordinate
cubrir_indicadores_problemas_reunion_individual	10	T	cap_05	L43	These are often obscure and take time to surface, consider, and resolve
facilitar_expresion_subordinado_pregunta_mas	1	T	cap_05	L45	He should facilitate the subordinate's expression of what's going on and what's bothering him
facilitar_expresion_subordinado_pregunta_mas	2	T	cap_05	L45	The supervisor is there to learn and to coach
facilitar_expresion_subordinado_pregunta_mas	3	T	cap_05	L45	Drucker: The good time users among managers do not talk to their subordinates about their problems but they know how to make the subordinates talk about theirs
facilitar_expresion_subordinado_pregunta_mas	4	T	cap_05	L47	By applying Grove's Principle of Didactic Management, Ask one more question!
facilitar_expresion_subordinado_pregunta_mas	5	T	cap_05	L47	When the supervisor thinks the subordinate has said all he wants to about a subject, he should ask another question
facilitar_expresion_subordinado_pregunta_mas	6	T	cap_05	L47	He should try to keep the flow of thoughts coming by prompting the subordinate with queries until both feel satisfied that they have gotten to the bottom of a problem
tomar_notas_copia_guion_reunion_individual	1	T	cap_05	L49	both the supervisor and subordinate should have a copy of the outline
tomar_notas_copia_guion_reunion_individual	2	T	cap_05	L49	and both should take notes on it
tomar_notas_copia_guion_reunion_individual	3	T	cap_05	L49	which serves a number of purposes ... most often end up never looking at them again. I do it to keep my mind from drifting and also to help me digest the information I hear and see
tomar_notas_copia_guion_reunion_individual	4	T	cap_05	L49	Since I take notes in outline form, I am forced to categorize the information logically, which helps me to absorb it; practica en primera persona, como reunir paso 1 en la 66
tomar_notas_copia_guion_reunion_individual	5	T	cap_05	L49	Equally important is what writing it down symbolizes. Many issues in a one-on-one lead to action required on the part of the subordinate
tomar_notas_copia_guion_reunion_individual	6	T	cap_05	L49	When he takes a note immediately following the supervisor's suggestion, the act implies a commitment, like a handshake, that something will be done
tomar_notas_copia_guion_reunion_individual	7	T	cap_05	L49	The supervisor, also having taken notes, can then follow up at the next one-on-one
acumular_asuntos_importantes_fichero_espera	1	T	cap_05	L51	using a hold file where both the supervisor and subordinate
acumular_asuntos_importantes_fichero_espera	2	T	cap_05	L51	accumulate important but not altogether urgent issues for discussion at the next meeting
acumular_asuntos_importantes_fichero_espera	3	T	cap_05	L51	This kind of file applies the production principle of batching
acumular_asuntos_importantes_fichero_espera	4	T	cap_05	L51	saves time for both involved by minimizing the need for ad hoc contact, like phone calls, drop-in visits, and so on, which constitute the interruptions we considered earlier
alentar_asuntos_corazon_vigilar_final_reunion	1	T	cap_05	L53	The supervisor should also encourage the discussion of heart-to-heart issues during one-on-ones
alentar_asuntos_corazon_vigilar_final_reunion	2	T	cap_05	L53	because this is the perfect forum for getting at subtle and deep work-related problems affecting his subordinate
alentar_asuntos_corazon_vigilar_final_reunion	3	D	cap_05	L53	Is he satisfied with his own performance?; el libro da la pregunta como ejemplo del asunto, no manda hacersela: el verbo Preguntale es del extractor. Me inclino a T porque alentar la discusion de esos asuntos es sacarlos
alentar_asuntos_corazon_vigilar_final_reunion	4	D	cap_05	L53	Does some frustration or obstacle gnaw at him?; la misma figura que el paso 3
alentar_asuntos_corazon_vigilar_final_reunion	5	D	cap_05	L53	Does he have doubts about where he is going?; la misma figura que el paso 3
alentar_asuntos_corazon_vigilar_final_reunion	6	T	cap_05	L53	But the supervisor should be wary of the zinger, which is a heart-to-heart issue brought up at an awkward time
alentar_asuntos_corazon_vigilar_final_reunion	7	T	cap_05	L53	More often than not, these come near the end of a meeting
alentar_asuntos_corazon_vigilar_final_reunion	8	T	cap_05	L53	If you let that happen, the subordinate might tell you something like he's unhappy and has been looking outside for a job and give you only five minutes to deal with it
conducir_reunion_individual_telefono_distancia	1	T	cap_05	L55	Long-distance telephone one-on-ones have become necessary because many organizations are now spread out geographically
conducir_reunion_individual_telefono_distancia	2	T	cap_05	L55	the supervisor must have the outline before the meeting begins
conducir_reunion_individual_telefono_distancia	3	T	cap_05	L55	both parties should take notes
conducir_reunion_individual_telefono_distancia	4	T	cap_05	L55	Because you can't see the other participant in the meeting, note-taking can't work in the same way as in a face-to-face meeting
conducir_reunion_individual_telefono_distancia	5	T	cap_05	L55	Exchanging notes after the meeting is a way to make sure each knows what the other committed himself to do
programar_reunion_individual_cadena	1	T	cap_05	L57	One-on-ones should be scheduled on a rolling basis
programar_reunion_individual_cadena	2	T	cap_05	L57	setting up the next one as the meeting taking place ends
programar_reunion_individual_cadena	3	T	cap_05	L57	Other commitments can thereby be taken into account and cancellations avoided
programar_reunion_individual_cadena	4	T	cap_05	L57	If the supervisor uses a set schedule for a one-on-one, such as every second Wednesday morning, and if the subordinate's vacation happens to fall on that date, the meeting is not going to occur
programar_reunion_individual_cadena	5	T	cap_05	L57	By scheduling on a rolling basis, this can be easily avoided
conducir_etapas_modelo_ideal_decision	1	T	cap_06	L23	The first stage should be free discussion, in which all points of view and all aspects of an issue are openly welcomed and debated
conducir_etapas_modelo_ideal_decision	2	T	cap_06	L23	The greater the disagreement and controversy, the more important becomes the word free
conducir_etapas_modelo_ideal_decision	3	T	cap_06	L23	Usually when a meeting gets heated, participants hang back, trying to sense the direction of things, saying nothing until they see what view is likely to prevail ... to avoid being associated with a losing position
conducir_etapas_modelo_ideal_decision	4	T	cap_06	L23	if knowledgeable people withhold opinions, whatever is decided will be based on information and insight less complete than it could have been otherwise
conducir_etapas_modelo_ideal_decision	5	T	cap_06	L27	The next stage is reaching a clear decision. Again, the greater the disagreement about the issue, the more important becomes the word clear
conducir_etapas_modelo_ideal_decision	6	T	cap_06	L27	particular pains should be taken to frame the terms of the decision with utter clarity
conducir_etapas_modelo_ideal_decision	7	T	cap_06	L27	when we know a decision is controversial we want to obscure matters to avoid an argument. But the argument is not avoided by our being mealy-mouthed, merely postponed
conducir_etapas_modelo_ideal_decision	8	T	cap_06	L27	People who don't like a decision will be a lot madder if they don't get a prompt and straight story about it
conducir_etapas_modelo_ideal_decision	9	T	cap_06	L29	Finally, everyone involved must give the decision reached by the group full support
conducir_etapas_modelo_ideal_decision	10	T	cap_06	L29	This does not necessarily mean agreement: so long as the participants commit to back the decision, that is a satisfactory outcome
conducir_etapas_modelo_ideal_decision	11	T	cap_06	L29	we tend to have honest, strongly felt, real differences of opinion. No matter how much time we may spend ... we just won't be able to get it on many issues. But an organization does not live by its members agreeing
conducir_etapas_modelo_ideal_decision	12	T	cap_06	L29	All a manager can expect is that the commitment to support is honestly present, and this is something he can and must get from everyone
decidir_nivel_competente_inferior	1	T	cap_06	L33	any decision be worked out and reached at the lowest competent level
decidir_nivel_competente_inferior	2	T	cap_06	L33	this is where it will be made by people who are closest to the situation and know the most about it
decidir_nivel_competente_inferior	3	T	cap_06	L33	by know I don't just mean understand technically. That kind of expertise must be tempered with judgment
decidir_nivel_competente_inferior	4	T	cap_06	L33	which is developed through experience and learning from the many errors one has made in one's career
decidir_nivel_competente_inferior	5	T	cap_06	L33	ideally, decision-making should occur in the middle ground, between reliance on technical knowledge on the one hand, and on the bruises one has received
decidir_nivel_competente_inferior	6	T	cap_06	L33	if you can't find people with both qualities, you should aim to get the best possible mix of participants available
decidir_nivel_competente_inferior	7	T	cap_06	L33	For experience, we at Intel are likely to ask a person in management senior to the other members of the group to come to the meeting
decidir_nivel_competente_inferior	8	T	cap_06	L33	it is very important that everybody there voice opinions and beliefs as equals throughout the free discussion stage, forgetting or ignoring status differentials
vencer_sindrome_grupo_pares_autoconfianza	1	D	cap_06	L49	You can overcome the peer-group syndrome if each of the members has self-confidence; el libro da una condicion, trabaja sobre es verbo del extractor. Me inclino a T porque los pasos 2 a 5 son el como que el libro da
vencer_sindrome_grupo_pares_autoconfianza	2	T	cap_06	L49	which stems in part from being familiar with the issue under consideration
vencer_sindrome_grupo_pares_autoconfianza	3	T	cap_06	L49	and from experience
vencer_sindrome_grupo_pares_autoconfianza	4	T	cap_06	L49	in the end self-confidence mostly comes from a gut-level realization that nobody has ever died from making a wrong business decision, or taking inappropriate action, or being overruled
vencer_sindrome_grupo_pares_autoconfianza	5	T	cap_06	L49	And everyone in your operation should be made to understand this; y no solo los de la mesa es glosa de everyone
tomar_mando_reunion_pares_presidente_ausente	1	T	cap_06	L51	If the peer-group syndrome manifests itself, and the meeting has no formal chairman
tomar_mando_reunion_pares_presidente_ausente	2	T	cap_06	L51	the person who has the most at stake should take charge
tomar_mando_reunion_pares_presidente_ausente	3	T	cap_06	L51	If that doesn't work, one can always ask the senior person present to assume control
tomar_mando_reunion_pares_presidente_ausente	4	T	cap_06	L51	He is likely to be no more expert in the issues at hand than other members of the group, perhaps less expert
tomar_mando_reunion_pares_presidente_ausente	5	T	cap_06	L51	but he is likely to act as a godfather, a repository of knowledge about how decisions should be made
tomar_mando_reunion_pares_presidente_ausente	6	T	cap_06	L51	and give the group the confidence needed to make a decision
ejercer_poder_posicion_etapa_decision_clara	1	T	cap_06	L61	Sometimes no amount of discussion will produce a consensus, yet the time for a decision has clearly arrived
ejercer_poder_posicion_etapa_decision_clara	2	T	cap_06	L61	the senior person (or peer-plus-one) who until now has guided, coached, and prodded the group along has no choice but to make a decision himself
ejercer_poder_posicion_etapa_decision_clara	3	T	cap_06	L61	If the decision-making process has proceeded correctly up to this point, the senior manager will be making the decision having had the full benefit of free discussion ... without position-power prejudice
ejercer_poder_posicion_etapa_decision_clara	4	T	cap_06	L61	it is legitimate, in fact, sometimes unavoidable, for the senior person to wield position-power authority if the clear decision stage is reached and no consensus has developed
ejercer_poder_posicion_etapa_decision_clara	5	T	cap_06	L61	It is not legitimate, in fact, it is destructive, for him to wield that authority any earlier
ejercer_poder_posicion_etapa_decision_clara	6	T	cap_06	L61	This is often not easy. We Americans tend to be reluctant to exercise position power deliberately and explicitly, it is just not nice to give orders
ejercer_poder_posicion_etapa_decision_clara	7	T	cap_06	L61	Such reluctance ... can prolong the first phase ... the time of free discussion, past the optimum point, and the decision will be put off
cortar_discusion_libre_momento_justo	1	T	cap_06	L63	If you either enter the decision-making stage too early or wait too long, you won't derive the full benefit of open discussion
cortar_discusion_libre_momento_justo	2	T	cap_06	L63	The criterion to follow is this: don't push for a decision prematurely
cortar_discusion_libre_momento_justo	3	T	cap_06	L63	Make sure you have heard and considered the real issues rather than the superficial comments that often dominate the early part of a meeting
cortar_discusion_libre_momento_justo	4	T	cap_06	L63	But if you feel that you have already heard everything, that all sides of the issue have been raised, it is time to push for a consensus
cortar_discusion_libre_momento_justo	5	T	cap_06	L63	and failing that, to step in and make a decision
cortar_discusion_libre_momento_justo	6	T	cap_06	L63	Sometimes free discussion goes on in an unending search for consensus ... people can drift away from the near consensus when they are close to being right
cortar_discusion_libre_momento_justo	7	T	cap_06	L63	So moving on to make the decision at the right time is crucial
zanjar_seis_preguntas_decision_adelantado	1	T	cap_06	L65	like other things managers do, decision-making has an output associated with it, which in this case is the decision itself
zanjar_seis_preguntas_decision_adelantado	2	T	cap_06	L65	decision-making is likelier to generate high-quality output in a timely fashion if we say clearly at the outset that we expect exactly that
zanjar_seis_preguntas_decision_adelantado	3	T	cap_06	L65	one of the manager's key tasks is to settle six important questions in advance
zanjar_seis_preguntas_decision_adelantado	4	T	cap_06	L67	What decision needs to be made?
zanjar_seis_preguntas_decision_adelantado	5	T	cap_06	L69	When does it have to be made?
zanjar_seis_preguntas_decision_adelantado	6	T	cap_06	L71	Who will decide?
zanjar_seis_preguntas_decision_adelantado	7	T	cap_06	L73	Who will need to be consulted prior to making the decision?
zanjar_seis_preguntas_decision_adelantado	8	T	cap_06	L75	Who will ratify or veto the decision?
zanjar_seis_preguntas_decision_adelantado	9	T	cap_06	L77	Who will need to be informed of the decision?
anunciar_decision_inesperada_reconvocar_reunion	1	T	cap_06	L93	If the final word has to be dramatically different from the expectations of the people who participated in the decision-making process
anunciar_decision_inesperada_reconvocar_reunion	2	T	cap_06	L93	make your announcement
anunciar_decision_inesperada_reconvocar_reunion	3	T	cap_06	L93	but don't just walk away from the issue
anunciar_decision_inesperada_reconvocar_reunion	4	T	cap_06	L93	People need time to adjust, rationalize, and in general put their heads back together
anunciar_decision_inesperada_reconvocar_reunion	5	T	cap_06	L93	Adjourn
anunciar_decision_inesperada_reconvocar_reunion	6	T	cap_06	L93	reconvene the meeting after people have had a chance to recover
anunciar_decision_inesperada_reconvocar_reunion	7	T	cap_06	L93	and solicit their views of the decision at that time
anunciar_decision_inesperada_reconvocar_reunion	8	T	cap_06	L93	This will help everybody accept and learn to live with the unexpected
