archivar_indicadores_resolver_problemas | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.361 fam 0.143 paso 0.42 | paso 2 del candidato contra paso 3 de construir_indicador_tendencia_patron
emparejar_indicadores_efecto_contraefecto | elegir_fabricar_pedido_pronostico | grafo | similitud_texto | sim 0.367 fam 0.0 paso 0.408 | paso 4 del candidato contra paso 1 de elegir_fabricar_pedido_pronostico
emparejar_indicadores_efecto_contraefecto | dimensionar_plantilla_administrativa_pronostico | grafo | similitud_texto | sim 0.355 fam 0.0 paso 0.396 | paso 4 del candidato contra paso 2 de dimensionar_plantilla_administrativa_pronostico
equilibrar_capacidad_personal_inventario_plazo | construir_indicador_tendencia_patron | grafo | similitud_texto | sim 0.354 fam 0.0 paso 0.421 | paso 7 del candidato contra paso 5 de construir_indicador_tendencia_patron
preferir_inspeccion_proceso_prueba_destructiva | clasificar_trabajo_proceso_montaje_prueba | grafo | similitud_texto | sim 0.366 fam 0.25 paso 0.461 | paso 6 del candidato contra paso 5 de clasificar_trabajo_proceso_montaje_prueba
preferir_inspeccion_proceso_prueba_destructiva | rehacer_flujo_paso_limitante_capacidad | grafo | similitud_texto | sim 0.445 fam 0.0 paso 0.384 | paso 1 del candidato contra paso 6 de rehacer_flujo_paso_limitante_capacidad
preferir_inspeccion_proceso_prueba_destructiva | construir_flujo_produccion_paso_limitante | grafo | similitud_texto | sim 0.41 fam 0.0 paso 0.442 | paso 6 del candidato contra paso 8 de construir_flujo_produccion_paso_limitante
preferir_inspeccion_proceso_prueba_destructiva | dimensionar_inventario_materia_prima_reposicion | grafo | similitud_texto | sim 0.384 fam 0.0 paso 0.417 | paso 5 del candidato contra paso 6 de dimensionar_inventario_materia_prima_reposicion
rehacer_flujo_paso_limitante_capacidad | preferir_inspeccion_proceso_prueba_destructiva | grafo | similitud_texto | sim 0.46 fam 0.0 paso 0.378 | paso 3 del candidato contra paso 2 de preferir_inspeccion_proceso_prueba_destructiva
rehacer_flujo_paso_limitante_capacidad | construir_flujo_produccion_paso_limitante | grafo | similitud_texto,familia_id | sim 0.419 fam 0.429 paso 0.43 | paso 5 del candidato contra paso 9 de construir_flujo_produccion_paso_limitante
rehacer_flujo_paso_limitante_capacidad | dimensionar_inventario_materia_prima_reposicion | grafo | similitud_texto | sim 0.357 fam 0.0 paso 0.387 | paso 2 del candidato contra paso 3 de dimensionar_inventario_materia_prima_reposicion
