PARES DE LA TANDA ORDENADOS POR SOLAPE DEL AUDITOR: 55
max    cabecera pasos   linea par
0.123  0.123    0.074   L194  pedir_critica_equipo_premiarla  ||  empezar_cultura_franqueza_radical
0.059  0.000    0.059   L179  pedir_critica_equipo_premiarla  ||  elogiar_trabajo_especifico_contexto
0.057  0.019    0.057   L150  manejar_enfado_persona_desafiada  ||  desplegar_marco_franqueza_radical
0.057  0.018    0.057   L160  ajustar_franqueza_oido_oyente  ||  equilibrar_elogio_critica_equipo
0.055  0.055    0.054   L172  empezar_cultura_franqueza_radical  ||  ajustar_franqueza_oido_oyente
0.054  0.051    0.054   L154  cambiar_potencial_trayectoria_crecimiento  ||  delimitar_franqueza_radical_cinco_noes
0.052  0.052    0.040   L173  empezar_cultura_franqueza_radical  ||  equilibrar_elogio_critica_equipo
0.052  0.018    0.052   L164  elogiar_trabajo_especifico_contexto  ||  manejar_enfado_persona_desafiada
0.050  0.016    0.050   L185  cuidar_persona_completa_equipo  ||  imaginar_caso_simple_bragueta_abierta
0.048  0.020    0.048   L171  empezar_cultura_franqueza_radical  ||  revisar_ciclo_responsabilidades_relaciones
0.046  0.036    0.046   L159  ajustar_franqueza_oido_oyente  ||  manejar_enfado_persona_desafiada
0.046  0.015    0.046   L191  pedir_critica_equipo_premiarla  ||  cambiar_potencial_trayectoria_crecimiento
0.046  0.015    0.046   L174  pedir_critica_equipo_premiarla  ||  cambiar_potencial_trayectoria_crecimiento
0.043  0.017    0.043   L168  empezar_cultura_franqueza_radical  ||  manejar_enfado_persona_desafiada
0.042  0.000    0.042   L152  criticar_trabajo_evitar_desanimo  ||  desplegar_marco_franqueza_radical
0.042  0.016    0.042   L180  cuidar_persona_completa_equipo  ||  usar_lenguaje_no_discriminatorio_entrevista
0.038  0.036    0.038   L169  empezar_cultura_franqueza_radical  ||  elogiar_trabajo_especifico_contexto
0.033  0.033    0.024   L153  dar_critica_inmediata_ayuda_tangible  ||  desplegar_marco_franqueza_radical
0.031  0.000    0.031   L161  revisar_ciclo_responsabilidades_relaciones  ||  desplegar_marco_franqueza_radical
0.030  0.017    0.030   L198  acompaniar_mejores_equipo_socio  ||  empezar_cultura_franqueza_radical
0.029  0.016    0.029   L187  cuidar_persona_completa_equipo  ||  desplegar_marco_franqueza_radical
0.026  0.015    0.026   L189  cuidar_persona_completa_equipo  ||  empezar_cultura_franqueza_radical
0.026  0.000    0.026   L151  manejar_enfado_persona_desafiada  ||  repartir_semana_cuarenta_horas_jefe
0.023  0.000    0.023   L166  elogiar_trabajo_especifico_contexto  ||  desplegar_marco_franqueza_radical
