zhuo_manager | acordar_plan_conjunto_jefe | Acordar con tu jefe un plan conjunto para empezar
zhuo_manager | fijar_expectativas_claras_comienzo | Fijar expectativas claras al comienzo, antes de que empiece el trabajo
zhuo_manager | fijar_proceso_trabajo_equipo | Fijar el proceso con el que tu equipo trabaja junto
zhuo_manager | ganar_confianza_personas_cargo | Ganarte la confianza de tus personas a cargo con las cuatro acciones que el libro pide
zhuo_manager | gestionar_personas_equipo | Gestionar bien a las personas de tu equipo
zhuo_manager | hacer_opinion_accionable | Hacer que tu opinion se pueda convertir en accion, con los tres consejos del libro
zhuo_manager | identificar_disparadores_propios_reaccion | Identificar tus disparadores y cazarte a tiempo antes de responder
zhuo_manager | listar_bueno_mejorable_equipo | Listar lo bueno y lo mejorable del equipo que recibes
zhuo_manager | listar_debilidades_disparadores_propios | Listar tus debilidades y tus disparadores con cuatro preguntas
zhuo_manager | listar_fuerzas_propias_cuatro_preguntas | Listar tus propias fuerzas con cuatro preguntas
zhuo_manager | mover_rapido_persona_papel_equivocado | Mover rapido a quien no esta preparado para tener exito en su papel
zhuo_manager | pedir_ayuda_grupo_apoyo | Pedir ayuda a gente con la que puedas ser autentico
zhuo_manager | pedir_opinion_otros_mejorar | Pedir opinion a otros todo el tiempo para mejorar tu mismo
zhuo_manager | planificar_reduccion_trabajo_individual | Planificar la reduccion de tu trabajo individual cuando el equipo crece
zhuo_manager | preguntar_conducir_reunion_individual | Preguntar para conducir la reunion individual, con los tres grupos de preguntas del libro
zhuo_manager | preguntar_jefe_sonado_persona_cargo | Preguntar a cada persona a tu cargo como es su jefe sonado
zhuo_manager | probar_gestion_antes_decidir | Probar la gestion antes de decidir si es tu camino
zhuo_manager | recoger_opinion_360_grados | Recoger opinion de trescientos sesenta grados para la maxima objetividad
zhuo_manager | repartir_tiempo_atencion_mejores_equipo | Repartir tu tiempo y tu atencion hacia los mejores de tu equipo
zhuo_manager | reservar_tiempo_reflexion_metas | Reservar tiempo para reflexionar y ponerte metas
zhuo_manager | resolver_desencaje_valores_persona_equipo | Resolver el desencaje de valores entre una persona y tu equipo
zhuo_manager | respetar_cuidar_persona_cargo | Respetar a tu persona a cargo y cuidar de ella
zhuo_manager | responder_tres_preguntas_vocacion_directiva | Responder las tres preguntas que dicen si la gestion es tu camino
zhuo_manager | revisar_proposito_personas_proceso | Revisar el proposito, las personas y el proceso de tu equipo
zhuo_manager | ser_honesto_transparente_desempenio | Ser honesto y transparente sobre el desempenio de tu persona a cargo
zhuo_manager | situar_transicion_cuatro_caminos | Situar tu transicion a directivo en uno de los cuatro caminos
zhuo_manager | transitar_aprendiz_primeros_meses | Transitar como aprendiz tus primeros meses de directivo
zhuo_manager | transitar_jefe_nuevo_equipo_establecido | Transitar como jefe nuevo de un equipo ya establecido
zhuo_manager | transitar_pionero_equipo_nuevo | Transitar como pionero al frente de un equipo que crece
zhuo_manager | transitar_sucesor_equipo_entero | Transitar como sucesor al frente del equipo entero
zhuo_manager | tratar_jefe_entrenador | Tratar a tu jefe como entrenador y no como juez
zhuo_manager | visualizar_recuperar_confianza | Cerrar los ojos y visualizar para recuperar la confianza
zhuo_manager | auditar_calendario_reuniones_semana | Auditar tu calendario durante una semana y limpiar las reuniones que no te necesitan
zhuo_manager | cambiar_formato_reunion_favorecer_participacion | Cambiar el formato de la reunion para que la dinamica natural no decida quien habla
zhuo_manager | abrir_discusion_notas_adhesivas | Abrir una discusion compleja escribiendo cada uno sus notas adhesivas en silencio
zhuo_manager | cerrar_reunion_pasos_siguientes | Cerrar la reunion acordando los pasos siguientes y mandar despues el resumen
zhuo_manager | decir_normas_participacion_voz_alta | Decir en voz alta la norma de participacion que quieres que rija
zhuo_manager | fijar_resultado_excelente_reunion | Fijar a que se parece un resultado excelente antes de convocar la reunion
zhuo_manager | dirigir_reunion_decision | Dirigir una reunion cuyo resultado excelente es una decision tomada
zhuo_manager | dirigir_reunion_generar_ideas | Dirigir una reunion cuyo resultado excelente es un monton de ideas diversas
zhuo_manager | dirigir_reunion_informativa | Dirigir una reunion cuyo resultado excelente es que el grupo aprenda algo
zhuo_manager | dirigir_reunion_reforzar_relaciones | Dirigir una reunion cuyo resultado excelente es que la gente se entienda mejor
zhuo_manager | dirigir_reunion_revision_trabajo | Dirigir una reunion cuyo resultado excelente es opinion util sobre un trabajo en curso
zhuo_manager | invitar_personas_necesarias_reunion | Invitar a la reunion a todos los necesarios y a nadie de sobra
zhuo_manager | mediar_tiempo_palabra_reunion | Mediar el tiempo de palabra cuando unos pocos dominan la reunion
zhuo_manager | pedir_opinion_propia_reunion | Pedir opinion sobre tu propia reunion en vez de esperar a que alguien se atreva
zhuo_manager | repartir_material_antes_reunion | Repartir el material y la agenda antes de la reunion para que todos lleguen preparados
zhuo_manager | buscar_recomendaciones_confianza | Buscar recomendaciones de fuentes en las que ya confias
zhuo_manager | calcular_embudo_reclutamiento_propio | Calcular tu propio embudo de reclutamiento para dejar de sufrir cada rechazo
zhuo_manager | construir_equipo_perspectivas_diversas | Construir el equipo con perspectivas diversas y buscar activamente lo distinto
zhuo_manager | contratar_personas_capaces_mas | Contratar personas capaces de mas de lo que el puesto pide hoy
zhuo_manager | cultivar_relacion_talento_largo_plazo | Cultivar la relacion con el mejor talento aunque hoy te diga que no
zhuo_manager | describir_candidato_ideal_precision | Describir tu candidato ideal con toda la precision que puedas
zhuo_manager | disenar_equipo_plan_anual | Disenar tu equipo a un anio vista antes de que el hambre decida por ti
zhuo_manager | ejecutar_embudo_reclutamiento_escala | Ejecutar el embudo de reclutamiento a escala repartiendolo en piezas pequenias
zhuo_manager | entregar_experiencia_entrevista_excelente | Entregar una experiencia de entrevista atenta, enfocada y rapida
zhuo_manager | desarrollar_estrategia_busqueda_candidatos | Desarrollar con el reclutador la estrategia de donde buscar
zhuo_manager | examinar_trabajo_pasado_candidato | Examinar ejemplos del trabajo pasado del candidato en proyectos parecidos
zhuo_manager | investigar_antes_contratar_lideres | Investigar que buscar antes de contratar a un lider para tu equipo
zhuo_manager | mostrar_candidato_cuanto_quieres | Mostrar al candidato cuanto quieres que diga que si
zhuo_manager | preguntar_contratar_unica_prioridad | Preguntarte que harias distinto si contratar bien fuera lo unico que importa
zhuo_manager | preparar_preguntas_entrevista_antemano | Preparar tus preguntas de entrevista de antemano y hacer las mismas a todos
zhuo_manager | probar_banquillo_vacaciones_largas | Probar la fuerza de tu banquillo con la prueba de las vacaciones largas
zhuo_manager | rechazar_conducta_toxica_entrevista | Rechazar a quien exhibe conducta toxica en la entrevista
zhuo_manager | rechazar_contratacion_tibia | Rechazar la contratacion tibia y apostar por quien tiene un defensor apasionado
zhuo_manager | repartir_papeles_directivo_reclutador | Repartir con el reclutador lo que trae cada uno en vez de esperar sentado
zhuo_manager | repartir_responsabilidad_contratar_equipo | Repartir la responsabilidad de contratar cuando ya no puedes estar en todo
zhuo_manager | avisar_organizador_reunion_prescindible | Avisar a quien organiza cuando una reunion periodica no vale para nadie
zhuo_manager | ajustar_plan_fuerzas_equipo | Ajustar el plan a lo que tu equipo sabe hacer de verdad
zhuo_manager | comprobar_equipo_ejecuta_bien | Comprobar si tu equipo ejecuta bien con las senales que el libro da
zhuo_manager | crear_manuales_jugadas_repetibles | Crear manuales de jugadas para lo que haces una y otra vez
zhuo_manager | crear_plan_creible_equipo | Crear un plan que tenga posibilidades reales de funcionar
zhuo_manager | definir_quien_responde_cada_cosa | Definir quien responde de cada cosa antes de que la conversacion termine
zhuo_manager | definir_vision_larga_trabajar_atras | Definir la vision larga y trabajar hacia atras desde ella
zhuo_manager | ejecutar_ciclos_cortos_aprender | Ejecutar en ciclos cortos para aprender haciendo en vez de debatir
zhuo_manager | equilibrar_corto_largo_plazo | Equilibrar el corto y el largo plazo mirando el riesgo de los dos lados
zhuo_manager | fijar_vision_concreta_equipo | Fijar una vision concreta del equipo que nadie pueda malentender
zhuo_manager | hacer_repaso_posterior_proyecto | Hacer el repaso posterior sin convertirlo en un juicio
zhuo_manager | ligar_tareas_proposito_organizacion | Ligar cada tarea al proposito mayor y no confundirlo con su indicador
zhuo_manager | partir_meta_grande_hitos | Partir una meta grande en hitos pequenios con su fecha y su responsable
zhuo_manager | priorizar_pocas_cosas_bien | Priorizar unas pocas cosas y hacerlas bien en vez de repartir esfuerzo
zhuo_manager | repartir_equipo_cartera_horizontes | Repartir el equipo como una cartera, por horizonte de tiempo
zhuo_manager | involucrar_varios_entrevistadores | Involucrar a varios entrevistadores y hacer que cada uno escriba antes de hablar
zhuo_manager | alinear_prioridades_reporte_directivo | Alinear con cada reporte lo que mas importa en vez de pedirle un parte
zhuo_manager | decidir_directivo_no_encaja_papel | Decidir que hacer cuando un directivo de tu equipo no da la talla del papel
zhuo_manager | entregar_problema_dificil_reporte | Entregar un problema dificil a un reporte y declararlo dueno en publico
zhuo_manager | equilibrar_microdireccion_ausencia | Equilibrar la microdireccion y la ausencia al delegar
zhuo_manager | facilitar_gente_diga_verdad | Facilitar que la gente te diga la verdad cuando ya tienes autoridad
zhuo_manager | pasar_direccion_directa_indirecta | Pasar de dirigir directamente a dirigir a traves de otros directivos
zhuo_manager | reemplazarse_trabajo_propio | Buscar constantemente quien te reemplace en lo que haces hoy
zhuo_manager | reservar_valor_unico_prioridades_arriba | Reservar tu valor unico para las prioridades de arriba en vez de delegarlo
zhuo_manager | sostener_cambio_contexto_continuo | Sostener el cambio de contexto continuo cuando el trabajo se fragmenta
zhuo_manager | comunicar_valores_diez_formas | No dejar de hablar de lo que te importa, dicho de diez formas distintas
zhuo_manager | contrastar_cultura_actual_aspirada | Contrastar por escrito la cultura que tu equipo tiene con la que quieres que tenga
zhuo_manager | inventar_tradiciones_celebrar_valores | Inventar tradiciones que celebren los valores de tu equipo
zhuo_manager | juzgar_cultura_renuncias_equipo | Juzgar la cultura de un equipo por lo que esta dispuesto a ceder por sus valores
zhuo_manager | reconocer_decision_dificil_valores | Reconocer al reporte que hace algo dificil en el espiritu de los valores del equipo
zhuo_manager | actuar_conducta_contraria_valores | Actuar cuando alguien hace algo que se sale de tus valores y el problema no es estructural
zhuo_manager | revisar_incentivos_trampas_equipo | Revisar si tu entorno premia de verdad los valores que declaras, y cazar sus trampas
zhuo_manager | vivir_primero_valor_declarado | Ser el primero en vivir el valor que declaras, o no declararlo
scott_radical_candor | desplegar_marco_franqueza_radical | Desplegar el marco de la franqueza radical como recordatorio, con su regla de uso y sus dos prohibiciones
scott_radical_candor | repartir_semana_cuarenta_horas_jefe | Repartir la semana de cuarenta horas del jefe entre gestionar, pensar por tu cuenta y lo imprevisible
scott_radical_candor | delimitar_franqueza_radical_cinco_noes | Delimitar la franqueza radical por lo que no es, con los cinco noes del texto y la regla de las tres cosas sin decir
scott_radical_candor | invitar_desafio_reciproco_equipo | Invitar a tus personas a cargo a desafiarte a ti tan directamente como tu les desafias a ellas
scott_radical_candor | equilibrar_elogio_critica_equipo | Dar mas elogio que critica sin usar ningun ratio fijo, y repartir tu energia al reves de como te sale
scott_radical_candor | imaginar_caso_simple_bragueta_abierta | Imaginar el caso simple de la bragueta abierta antes de decir algo dificil, y mirar en que cuadrante cae tu silencio
scott_radical_candor | reparar_mal_comportamiento_evitar_disculpa_falsa | Reparar tu propio mal comportamiento sin caer en la disculpa falsa: entender primero, resolver despues y admitir al final
scott_radical_candor | manejar_enfado_persona_desafiada | Manejar el enfado de la persona a la que acabas de desafiar, con la frase que se elimina del vocabulario
scott_radical_candor | criticar_trabajo_evitar_desanimo | Criticar el trabajo sin desanimar a la persona, con la lista que el texto pone y el error de atribucion evitado
scott_radical_candor | dar_critica_inmediata_ayuda_tangible | Dar la critica en el acto sin dejar que el buen resultado la tape, y ofrecer ayuda tangible con ella
scott_radical_candor | cambiar_potencial_trayectoria_crecimiento | Cambiar la palabra potencial por trayectoria de crecimiento y hacer con el equipo el ejercicio de las dos columnas
scott_radical_candor | ajustar_franqueza_oido_oyente | Ajustar la franqueza radical al oido del que escucha y no a la boca del que habla, buscando la forma local de cada dimension
scott_radical_candor | revisar_ciclo_responsabilidades_relaciones | Revisar el ciclo entre tus tres responsabilidades de jefe y tus relaciones, con la lista que lo fortalece y la lista que lo erosiona
scott_radical_candor | elogiar_trabajo_especifico_contexto | Elogiar el trabajo con el porque dentro, contextualizado y sincero, y averiguar quien hizo que antes de elogiar en publico
scott_radical_candor | empezar_cultura_franqueza_radical | Empezar una cultura de franqueza radical por el orden que el texto pone, pidiendo antes que dando
scott_radical_candor | descubrir_motivacion_sentido_persona | Descubrir de donde saca cada persona el sentido de su trabajo, en vez de proveerle tu un proposito
scott_radical_candor | cuidar_persona_completa_equipo | Cuidar a la persona completa de cada miembro del equipo, con los cuatro medios que el libro nombra y los tres que descarta
scott_radical_candor | pedir_critica_equipo_premiarla | Pedir activamente que tu equipo te critique, aguantar el silencio y premiar la primera franqueza a la vista de todos
scott_radical_candor | acompaniar_mejores_equipo_socio | Acompaniar a los que hacen el mejor trabajo como socio, ni de jefe ausente ni de microgestor
scott_radical_candor | despedir_persona_franqueza_radical | Despedir con franqueza radical, sin distanciarte de la persona y con el trabajo siguiente imaginado antes de la reunion
scott_radical_candor | decidir_momento_despedir_persona | Decidir si ha llegado el momento de despedir, con las tres preguntas del texto y las cuatro mentiras que lo retrasan
scott_radical_candor | reconocer_recompensar_gente_estable | Reconocer y recompensar a la gente estable de tu equipo por vias que no sean la promocion
scott_radical_candor | retar_superestrellas_equipo_constantemente | Retar constantemente a quien esta en trayectoria empinada, no bloquearlo, y no confundir crecer con dirigir
scott_radical_candor | retirar_etiquetas_permanentes_equipo | Retirar las etiquetas permanentes de la gente de tu equipo y volver a mirarla con ojos nuevos cada dia
scott_radical_candor | revisar_cinco_causas_mal_desempenio | Revisar las cinco causas de que alguien bueno este rindiendo mal, empezando por mirarte tu al espejo
scott_radical_candor | subir_vara_calidad_equipo | Subir la vara de calidad con quien lleva tiempo haciendo un trabajo solo aceptable, en vez de darlo por mediocre
scott_radical_candor | abrir_debate_humor_explicar_proposito | Abrir un debate con humor y explicando para que sirve, porque el tono con que se lanza marca el de todo lo que viene detras
scott_radical_candor | adaptar_escucha_cultura_ajena | Adaptar tu forma de escuchar cuando entras en una cultura que no es la tuya, empezando por los errores que traes de la tuya
scott_radical_candor | aprender_resultados_vencer_dos_presiones | Aprender de los resultados venciendo las dos presiones que empujan a dejar de aprender
scott_radical_candor | bajar_detalle_organizacion_fuente_hechos | Bajar al detalle de tu organizacion y buscar los hechos en su fuente, sin dejar que te lleguen filtrados por capas
scott_radical_candor | cambiar_posicion_hechos_explicar_cambio | Cambiar de posicion cuando cambian los hechos, y explicar el cambio en voz alta en vez de dejar que se note
scott_radical_candor | escuchar_callado_equipo_tranquilizar_incomodo | Escuchar en silencio para oir lo que no quieres oir, y tranquilizar a quien tu silencio incomoda
scott_radical_candor | escuchar_ruidoso_opinion_fuerte_pedir_agujeros | Escuchar en voz alta poniendo una opinion fuerte encima de la mesa y pidiendo que le hagan agujeros
scott_radical_candor | crear_cultura_escucha_equipo | Crear una cultura en la que tu equipo se escuche entre si, con un sistema simple de ideas y quejas que alguien atiende y explica
scott_radical_candor | explicar_idea_facil_comprender_oyente | Explicar una idea de forma que sea imposible no entenderla, cargando tu con la responsabilidad de que se entienda
scott_radical_candor | centrar_debate_ideas_fuera_egos | Centrar el debate en las ideas y dejar los egos fuera, cambiando los papeles cuando alguien empieza a defender el suyo
scott_radical_candor | recorrer_rueda_conscientemente_cultura_equipo | Recorrer conscientemente los pasos de la rueda de hacer cosas sobre tu propia cultura, mirando la conducta y no el caracter
scott_radical_candor | recorrer_rueda_hacer_cosas_equipo | Recorrer la rueda de hacer cosas con tu equipo, sin saltarte un paso y sin atascarte en uno
scott_radical_candor | crear_espacio_seguro_madurar_ideas_nuevas | Crear un espacio seguro donde una idea nueva madure antes de entrar en el debate, ayudando a pensar en vez de pedir soluciones
scott_radical_candor | crear_obligacion_disentir_equipo | Crear en tu equipo la obligacion de disentir, tratando el acuerdo de todos como una bandera roja
scott_radical_candor | parar_debate_emocion_agotamiento | Parar un debate cuando la gente esta agotada o demasiado cargada de emocion, y aplazarlo en vez de dejar que decida el cansancio
scott_radical_candor | fijar_fecha_cierre_debate_equipo | Fijar por escrito cuando termina el debate, y no arrebatar la decision solo porque el debate se ha vuelto doloroso
scott_radical_candor | repartir_decision_cercanos_hechos | Repartir las decisiones entre los mas cercanos a los hechos en vez de tomarlas tu por ser el jefe
scott_radical_candor | pedir_hechos_decision_evitar_recomendaciones | Pedir hechos y no recomendaciones cuando reunes informacion para una decision
scott_radical_candor | persuadir_emocion_oyente_no_propia | Persuadir atendiendo a la emocion del que escucha y no a la tuya, aunque tu conexion con la decision sea fuerte
scott_radical_candor | establecer_credibilidad_pericia_humildad | Establecer tu credibilidad demostrando pericia y humildad, y ayudar a que la establezcan los que deciden en tu equipo
scott_radical_candor | compartir_logica_mostrar_razonamiento | Compartir tu logica mostrando el razonamiento entero y no solo la conclusion
scott_radical_candor | minimizar_impuesto_colaboracion_equipo | Minimizar el impuesto de colaboracion de tu equipo cargando tu con el, con las tres cosas que equilibran la balanza
scott_radical_candor | proteger_tiempo_equipo_jefe | No malgastar el tiempo de tu equipo: quitar de en medio los obstaculos, las reuniones sobrantes y los mandatos de arriba
scott_radical_candor | mantener_manos_trabajo_real_equipo | Mantener las manos en el trabajo real de tu equipo, ejecutando tu tambien y no solo mirando ejecutar a otros
scott_radical_candor | reservar_calendario_tiempo_ejecutar | Reservar en el calendario el tiempo de ejecutar, que es solitario y por eso nunca se apunta
scott_radical_candor | cuidarse_agotamiento_centro_rueda | Cuidarte a ti mismo contra el agotamiento, porque estas en el centro de la rueda y es la rueda la que se para
scott_radical_candor | bloquear_tiempo_pensar_calendario | Bloquear tiempo para pensar en tu calendario y mantener ese tiempo sagrado
scott_radical_candor | decidir_quien_comunica_cada_cuanto | Decidir quien necesita comunicarse con quien y cada cuanto, minimizando el coste de cada reunion
scott_radical_candor | montar_reuniones_solas_mentalidad_frecuencia | Montar tus reuniones a solas con cada persona a tu cargo: la mentalidad, la frecuencia, presentarte siempre y la agenda puesta por quien te reporta
scott_radical_candor | preguntar_seguimiento_hallar_huecos | Preguntar en la reunion a solas las preguntas de seguimiento que ensenian los huecos entre lo que la persona hace, lo que cree que deberia hacer y lo que quiere hacer
scott_radical_candor | nutrir_ideas_nuevas_reunion_solas | Nutrir en la reunion a solas las ideas nuevas, que son fragiles, empujando a quien la trae a explicarla mas claro y para quien la tiene que oir
scott_radical_candor | leer_seniales_fallo_jefe_reunion_solas | Leer en tus reuniones a solas las cinco seniales que el texto da de que estas fallando como jefe
scott_radical_candor | conducir_reunion_equipo_agenda_tres_bloques | Conducir la reunion semanal de equipo con la agenda de tres bloques del texto: aprender, escuchar y aclarar, sin debatir ni decidir dentro
scott_radical_candor | escribir_apuntes_sala_estudio_equipo | Escribir y leer los apuntes de la semana dentro de la propia reunion, como sala de estudio, en vez de contarlos en voz alta o dejarlos a que cada cual los ponga por su cuenta
scott_radical_candor | montar_reunion_gran_debate | Montar la reunion de gran debate, donde se debate y no se decide, con sus logisticas, sus normas y su unico producto
scott_radical_candor | montar_reunion_gran_decision | Montar la reunion de gran decision, con su decisor nombrado, sus decisiones finales y tu poder de veto usado con cuentagotas
scott_radical_candor | montar_reunion_general_presentaciones_preguntas | Montar la reunion general del equipo entero con sus dos partes: las presentaciones que persuaden y las preguntas abiertas que dejan oir el disenso
scott_radical_candor | pelear_proliferacion_reuniones_bloquear_ejecucion | Pelear la proliferacion de reuniones bloqueando en tu calendario el tiempo de estar a solas y ejecutar, despues de descartar los tres remedios que el texto dice que no cuajan
scott_radical_candor | montar_tablero_kanban_medir_actividades | Montar un tablero kanban de tres columnas para hacer visibles las actividades y los flujos de trabajo, y medir la actividad y no solo el resultado
scott_radical_candor | pasear_organizacion_hallar_problemas_pequenios | Pasear una hora a la semana por la organizacion para enterarte de los problemas pequenios antes de que se vuelvan grandes
scott_radical_candor | debatir_decidir_asuntos_cultura_evitar_delegar | Debatir y decidir tu misma los asuntos de cultura que te tienta delegar a recursos humanos, para que no los decidan sin tu influencia humanizadora ni se queden sin decidir
scott_radical_candor | integrar_trabajo_vida_mejor_version | Integrar trabajo y vida en vez de equilibrarlos, trayendo tu version mas completa al trabajo y llevandotela de vuelta a casa
scott_radical_candor | definir_receta_propia_mantenerse_centrado | Averiguar cual es tu receta para mantenerte centrado y cumplirla, sobre todo cuando los tiempos se ponen duros
scott_radical_candor | agendar_cuidados_propios_cumplirlos | Poner en el calendario lo que necesitas hacer por ti, y despues presentarte a esas citas como te presentarias a una con tu jefe
scott_radical_candor | ceder_autoridad_unilateral_equipo | Soltar la autoridad unilateral sobre tu equipo para que se sientan libres en el trabajo, sin caer en la abdicacion
scott_radical_candor | dominar_arte_socializar_trabajo | Dominar el arte de socializar en el trabajo, sabiendo que a la gente la conoces trabajando y no en la fiesta anual
scott_radical_candor | evitar_presion_social_actos_equipo | Evitar que un acto no obligatorio se sienta obligatorio, y que el intento de hacer equipo acabe empeorando el animo
scott_radical_candor | construir_confianza_equipo_tiempo_solas | Construir la confianza con cada persona de tu equipo pasando tiempo a solas con ella con regularidad, sin asumir de golpe mas confianza de la que hay
scott_radical_candor | vivir_valores_propios_evitar_listarlos | Vivir tus valores y demostrarlos en como diriges, en vez de montar un ejercicio que obligue a la gente a escribirlos y compartirlos
scott_radical_candor | demostrar_apertura_visiones_distintas | Demostrar apertura hacia quien tiene otra vision del mundo, empezando por el respeto basico y acabando por el lenguaje que usas
scott_radical_candor | manejar_contacto_fisico_regla_platino | Manejar el contacto fisico en el trabajo por la regla de platino, averiguando que deja comoda a la otra persona y haciendo eso
scott_radical_candor | reconocer_emociones_propias_avisar_equipo | Reconocer en voz alta el animo con el que llegas, para que tu equipo no crea que tu mal dia es culpa suya
scott_radical_candor | dominar_reacciones_emociones_ajenas | Dominar tus reacciones ante las emociones de los demas, sin intentar prevenirlas, controlarlas ni manejarlas
scott_radical_candor | abrazar_incomodidad_arrancar_critica_equipo | Abrazar la incomodidad para arrancarle la critica a tu equipo, con los seis consejos que el texto nombra uno a uno
scott_radical_candor | organizar_sistema_recoger_quejas_equipo | Organizar un sistema para que el equipo te haga llegar sugerencias y quejas, en vez de anunciar que se sientan libres
scott_radical_candor | correr_semana_arreglo_averias_gestion | Correr una semana de arreglo de averias de gestion, con el registro publico, la votacion y el reparto que el texto describe
scott_radical_candor | dar_guia_humilde_tres_tecnicas | Dar elogio y critica con humildad, con las tres tecnicas que el texto nombra y atribuye una a una
scott_radical_candor | dar_guia_util_cuatro_recordatorios | Dar guia que ayude de verdad, declarando tu intencion, mostrando en vez de contar, y buscando la ayuda en vez de darla tu
scott_radical_candor | dar_guia_acto_seis_consejos | Dar la guia en el acto y en tres minutos entre reuniones, con la excepcion que el texto declara y su limite
scott_radical_candor | elegir_medio_dar_guia_jerarquia_modos | Dar la guia en persona siempre que se pueda, y cuando no, elegir el medio por la jerarquia de modos que el texto ordena
scott_radical_candor | elogiar_publico_criticar_privado_sus_tres_matices | Elogiar en publico y criticar en privado, con las tres cosas que el texto dice que hay que pensar antes de aplicarlo
scott_radical_candor | evitar_personalizar_guia_aceptar_personal | Evitar personalizar la guia y aceptar a la vez que para quien la recibe es personal, con la frase que se retira del vocabulario
scott_radical_candor | medir_guia_propia_pegatinas_marco | Medir tu propia guia con el marco y las pegatinas de colores, coger la linea base y seguir tus mejoras
scott_radical_candor | practicar_franqueza_radical_jefe_propio | Practicar la franqueza radical con tu propio jefe con cautela, pidiendo permiso antes de dar guia y empezando por algo pequenio
scott_radical_candor | comprobar_criticas_hombre_mujeres_equipo | Comprobar si te estas conteniendo al criticar a las mujeres de tu equipo, preguntandoselo a ellas y pidiendoles que te midan
scott_radical_candor | exigir_critica_jefe_reticente | Exigir la critica que tu jefe no se atreve a darte, con las tres frases del texto y el silencio contado hasta seis
