madre	hijo	queda	tramo_madre	tramo_hijo	linea	lectura
recorrer_siete_pasos_programa_desarrollo_negocio	aplicar_ocho_reglas_juego_personas	NO SOSTENGO	paso 8	pasos 1 a 9	cap_13 L53	5. Your People Strategy: las reglas del juego son una pieza dentro de la People Strategy (cap_18 L137 a L165), no el paso 5
recorrer_siete_pasos_programa_desarrollo_negocio	responder_8_preguntas_construir_primary_aim	NO SOSTENGO	paso 4	pasos 1 a 9	cap_13 L45	1. Your Primary Aim: las preguntas de cap_14 L117 a L133 son un metodo dentro del paso 1, que es como lo leyo la frontera de la vuelta 5 (d111: METODO DENTRO del paso y no cabeza); no lo reabro
recorrer_siete_pasos_programa_desarrollo_negocio	responder_4_preguntas_estandares_objetivo_estrategico	NO SOSTENGO	paso 5	pasos 1 a 5	cap_13 L47	2. Your Strategic Objective: las preguntas de cap_15 L167 a L177 completan los estandares tres en adelante, un metodo dentro del paso 2 (d111)
responder_8_preguntas_construir_primary_aim	construir_estrategia_gente_cuatro_componentes	SOSTENGO D.29, DUDA	pasos 1 a 9	paso 2 y condicion	cap_18 L119	It starts with your Primary Aim: el hijo arranca con el Primary Aim que la madre construye, y su condicion lo da por escrito. DUDA de regla, la de mas peso de esta pagina: el titulo del hijo dice cuatro componentes y los nombra, y leido por la letra de D.37 el hijo seria CABEZA y esta ficha su PARTE, en la direccion contraria. Mi lectura: D.37 no dispara, porque la cuenta es del titulo de la ficha y no del libro (L119 enumera sin contar: la correccion del titular de D.37 manda D.29 cuando el texto solo enumera) y porque esta ficha es un metodo dentro del Primary Aim y no el Primary Aim. Si la lectura que manda es la otra, la pregunta es de doctrina y va al turno normal, no se decide aqui
responder_4_preguntas_estandares_objetivo_estrategico	construir_estrategia_gente_cuatro_componentes	SOSTENGO D.29, DUDA	pasos 1 a 5	paso 3 y condicion	cap_18 L119	and your Strategic Objective: el hijo sigue con el Objetivo Estrategico cuyos estandares completa la madre, y su condicion lo da por escrito. La misma DUDA de regla que la fila de arriba
documentar_trabajo_manual_operaciones	construir_estrategia_gente_cuatro_componentes	NO SOSTENGO	pasos 7 a 10	paso 5	cap_18 L119	and the Operations Manuals that define the work your people do: el hijo solo nombra los manuales en una linea (nombrar no es procedimentar) y la condicion de DOC sale de la regla 4 de FIN, no de GEN. Figura de D68.7 adjudicada en la 69: SANO y sin arista
responder_8_preguntas_construir_primary_aim	responder_4_preguntas_estandares_objetivo_estrategico	NO SOSTENGO	pasos 1 a 9	pasos 1 a 5	cap_15 L21	Once you have a picture of how you want your life to be ... you can then turn to the development of your Strategic Objective: el libro encadena los dos capitulos, pero la condicion de la ficha de cap_15 son los dos primeros estandares escritos (L45 a L97, sin ficha) y ninguno de sus cinco pasos usa las respuestas del Primary Aim. DUDA menor
construir_estrategia_gente_cuatro_componentes	aplicar_cinco_pasos_proceso_contratacion	SOSTENGO D.29, DUDA	pasos 3 a 5	pasos 10 y 11	cap_18 L245 y L269	the hotel's hiring process became the first and most essential medium for communicating the Boss's idea / Reviewing the Operations Manual, including the Strategic Objective, the Organizational Strategy, and the Position Contract: es la linea CONTINUA de mi clase intra si el barrido la levanta (D.53); la DUDA es la de la clase
aplicar_seis_pasos_sistema_venta	medir_sistema_venta_trece_indicadores_benchmark	SOSTENGO D.29	pasos 1 a 6	condicion y pasos 1 a 13	cap_19 L303 y L307	you will be able to tell just how predictable it is through the use of an Information System / For an Information System to interact with the Soft System in our example: es la linea CONTINUA de mi clase intra si el barrido la levanta
cambiar_saludo_cliente_dos_ramas	cuantificar_impacto_innovacion_6_pasos	SOSTENGO D.29, DUDA	pasos 1 a 4	pasos 2 y 3	cap_12 L95	how would you know that by changing the words you use to greet an incoming customer you produced a 16-percent increase in sales unless you quantified it: es la linea CONTINUA de mi clase intra si el barrido la levanta; la DUDA es la de la clase
probar_traje_azul_seis_semanas	unificar_color_forma_vestuario_modelo	NO SOSTENGO	pasos 1 y 2	paso 2	cap_11 L229	The colors you show your customer must be scientifically determined: el test del traje (cap_12 L63) es una manera de determinar colores, pero el hijo no la nombra ni usa su resultado, y la condicion del hijo sale de la regla 6 de FIN. Dos doctrinas vecinas, SANO
