LOS 91 QUE YA TIENEN VEREDICTO DE ADUANA CORRIDO
candidato                                                  veredicto     pobl  fichero
desarrollar_primer_curso_entrenamiento                     BLOQUEARIA     440  .v61ext/informe_2_desarrollar.txt
detectar_arreglar_fallo_etapa_menor_valor                  BLOQUEARIA     440  .v62aud2/informe_detectar_AUDITOR.txt
detectar_palanca_negativa_actividad_mando                  ENTRARIA       423  .v55ext/informe_de_lote.txt
determinar_estado_presente_capacidades_proyectos_merma     BLOQUEARIA     423  .v55ext/aduana_p12.txt
diagnosticar_capacidad_motivacion_prueba_vida              ENTRARIA       433  .v59ext/informe59_3_diagnosticar_capacidad.txt
diagnosticar_nivel_motivacion_reaccion_aumento_salario     BLOQUEARIA     437  .v60aud/informe_aud_cand5.txt
dimensionar_inventario_materia_prima_reposicion            BLOQUEARIA     423  .v55ext/informe_de_lote.txt
dimensionar_numero_subordinados_medio_dia_semanal          ENTRARIA       423  .v55ext/informe_de_lote.txt
dimensionar_plantilla_administrativa_pronostico            ENTRARIA       423  .v55ext/informe_de_lote.txt
ejercer_poder_posicion_etapa_decision_clara                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
elegir_cinco_indicadores_diarios_fabrica                   ENTRARIA       423  .v55ext/informe_de_lote.txt
elegir_estilo_direccion_madurez_relevante_tarea            ENTRARIA       436  .v59ext/informe59_6_elegir_estilo.txt
elegir_fabricar_pedido_pronostico                          BLOQUEARIA     423  .v55ext/informe_de_lote.txt
elegir_indicador_salida_trabajo_administrativo             BLOQUEARIA     423  .v55ext/informe_de_lote.txt
elegir_inspeccion_barrera_monitorizacion                   ENTRARIA       423  .v55ext/informe_de_lote.txt
elegir_modo_control_motivacion_factor_cua                  ENTRARIA       431  .v59ext/informe59_1_elegir_modo_control.txt
elegir_momento_actividad_palanca_maxima                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
emparejar_indicadores_efecto_contraefecto                  BLOQUEARIA     423  .v55ext/informe_de_lote.txt
empujar_persona_reunion_direccion_preferida                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
entregar_evaluacion_desempeno_tres_claves                  BLOQUEARIA     431  .v58ext/informe_1_entregar_evaluacion_desempeno_tres_claves.txt
equilibrar_capacidad_personal_inventario_plazo             BLOQUEARIA     423  .v55ext/informe_de_lote.txt
escalonar_complejidad_puesto_empleado_nuevo                ENTRARIA       432  .v59ext/informe59_2_escalonar_complejidad.txt
escalonar_fuentes_informacion_gerencial                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
examinar_demanda_entorno_dos_marcos_temporales             BLOQUEARIA     423  .v55ext/informe_de_lote.txt
examinar_entorno_expectativas_tecnologia_proveedores_grupos BLOQUEARIA     423  .v55ext/informe_de_lote.txt
facilitar_expresion_subordinado_pregunta_mas               BLOQUEARIA     423  .v55ext/informe_de_lote.txt
fijar_duracion_lugar_reunion_individual                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
fijar_frecuencia_reunion_individual_madurez_tarea          BLOQUEARIA     423  .v55ext/informe_de_lote.txt
fijar_horizonte_ventana_replanificacion                    BLOQUEARIA     423  .v55ext/aduana_p22.txt
fijar_meta_direccion_objetivos_mitad_probabilidad          BLOQUEARIA     434  .v59ext/informe59_4_fijar_meta.txt
fijar_periodo_direccion_objetivos_retroalimentacion        BLOQUEARIA     423  .v55ext/aduana_p29.txt
gestionar_retencion_subordinado_valioso_renuncia           BLOQUEARIA     436  .v58ext/informe_6_gestionar_retencion_subordinado_valioso_renuncia.txt
guiar_subordinado_etapas_resistencia_desempeno             ENTRARIA       433  .v58ext/informe_3_guiar_subordinado_etapas_resistencia_desempeno.txt
identificar_paso_limitante_jornada_desfases                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
infundir_regularidad_reunion_proceso                       BLOQUEARIA     423  .v55ext/informe_de_lote.txt
llevar_inventario_proyectos_discrecionales                 BLOQUEARIA     423  .v55ext/informe_de_lote.txt
pedir_critica_anonima_curso_entrenamiento_dictado          BLOQUEARIA     440  .v62aud/informe_3_pedir_critica.txt
planificar_tres_pasos_demanda_estado_brecha                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
preferir_inspeccion_proceso_prueba_destructiva             BLOQUEARIA     423  .v55ext/informe_de_lote.txt
preparar_guion_reunion_individual_subordinado              BLOQUEARIA     423  .v55ext/informe_de_lote.txt
preparar_resena_mixta_hoja_trabajo                         BLOQUEARIA     432  .v58ext/informe_2_preparar_resena_mixta_hoja_trabajo.txt
preparar_respuestas_estandar_interrupciones_repetidas      BLOQUEARIA     423  .v55ext/informe_de_lote.txt
priorizar_lista_entrenamiento_subordinados                 BLOQUEARIA     440  .v61ext/informe_1_priorizar.txt
programar_reunion_individual_cadena                        BLOQUEARIA     423  .v55ext/informe_de_lote.txt
programar_visita_area_observar_despachar                   BLOQUEARIA     423  .v55ext/informe_de_lote.txt
reciclar_empleado_ascendido_mas_alla_capacidad             ENTRARIA       437  .v58ext/informe_7_reciclar_empleado_ascendido_mas_alla_capacidad.txt
rehacer_flujo_paso_limitante_capacidad                     BLOQUEARIA     423  .v55ext/informe_de_lote.txt
repartir_supervision_puesto_funcional_mision               ENTRARIA       423  .v55ext/aduana_c10p17.txt
representar_actividad_caja_negra_ventanas                  ENTRARIA       423  .v55ext/informe_de_lote.txt
responder_primer_aviso_renuncia_subordinado                BLOQUEARIA     437  .v59aud/t_responder.txt
reunir_informacion_gerencial_vias_variadas                 BLOQUEARIA     423  .v55ext/informe_de_lote.txt
simplificar_trabajo_reducir_numero_pasos                   ENTRARIA       423  .v55ext/informe_de_lote.txt
subir_productividad_gerencial_tres_vias                    BLOQUEARIA     423  .v55ext/informe_de_lote.txt
supervisar_decision_delegada_preguntas_concretas           BLOQUEARIA     423  .v55ext/informe_de_lote.txt
supervisar_tarea_delegada_etapa_menor_valor                BLOQUEARIA     423  .v55ext/informe_de_lote.txt
tomar_mando_reunion_pares_presidente_ausente               BLOQUEARIA     423  .v55ext/informe_de_lote.txt
tomar_notas_copia_guion_reunion_individual                 BLOQUEARIA     423  .v55ext/informe_de_lote.txt
transmitir_objetivos_prioridades_preferencias              BLOQUEARIA     423  .v55ext/informe_de_lote.txt
usar_banco_nueve_preguntas_entrevista                      BLOQUEARIA     434  .v58ext/informe_4_usar_banco_nueve_preguntas_entrevista.txt
usar_calendario_herramienta_planificacion_produccion       BLOQUEARIA     423  .v55ext/informe_de_lote.txt
usar_tres_clases_reunion_proceso                           BLOQUEARIA     423  .v55ext/informe_de_lote.txt
variar_frecuencia_inspeccion_nivel_calidad                 ENTRARIA       423  .v55ext/informe_de_lote.txt
vencer_sindrome_grupo_pares_autoconfianza                  BLOQUEARIA     423  .v55ext/informe_de_lote.txt
zanjar_seis_preguntas_decision_adelantado                  BLOQUEARIA     423  .v55ext/informe_de_lote.txt

LOS 0 QUE FALTAN POR CORRER
